Ответы,Вопросы
"Принимаем по адресу:
- Центр,Ставрополь, ул.Пушкина 9 тц «Сити Парк»
- Юг, Ставрополь, ул.50лет ВЛКСМ 28а, тц «Милан»
- Михайловск, ул. Вокзальная 117/1","По какому адресу принимаете?

"
"Принимаем по адресу: - Центр,Ставрополь, ул.Пушкина 9 тц «Сити Парк» 
- Юг, Ставрополь, ул.50лет ВЛКСМ 28а, тц «Милан» 
- Михайловск, ул. Вокзальная 117/1",Какой у вас адрес?
"Да, Ставрополь, ул.50лет ВЛКСМ 28а, тц «Милан»",На юге принимаете?
"Да, Ставрополь, ул.Пушкина 9 тц «Сити Парк»",В центре принимаете?
"Да, Михайловск, ул. Вокзальная 117/1",В Михайловске принимаете?
Эффект от процедуры накопительный и держится до полугода.,"Как долго держиться эффкет от процедур? 
"
"Все зависит какой результат вы хотите, от вашего веса и ваших объемов, делать можно как раз в неделю, так и через день, зависит как срочно вам нужен эффект! Чем больше процедур, тем больше уходит объем!

","Как часто нужно делать массаж?
"
"Кавитация - это единственный прямой терапевтический метод воздействия на жировую ткань. Эффект кавитации делает жировые образования мягче, отделяет их от других тканей и дает возможность их выведения из организма.",Что такое кавитация?
"И тот и тот массаж эффективный, единственное, что карамельная липосакция не такая агрессивная как антицеллюлитный массаж и она дает более быстрее результат, если на антицеллюлитный массаж надо отходить 10 процедур, карамельной может хватить 5-7 процедур ",Какой массаж эффективнее карамельная липосакция или антицеллюлитный?
"Противопоказания:
Операции (процедуру можно проводить не раньше, чем через полгода после операционного вмешательства)
Беременность 
Критические дни (первые три дня)
Миома матки и кисты в прогрессивном росте!
Эпилепсия 
Сердечно сосудистые заболевания 
Варикозное расширение вен 2-3 степени (можно обертывание)
Гипертония 
Грудное вскармливание до 6 месяцев 
Алкогольное опьянение 
","Какие есть противопоказания?
"
"Я поделюсь с вами советами по уходу за кожей после пройденного курса массажа.
Помимо того, что Вы знаете о соблюдении водного режима, адекватного питания и физической активности, для поддержания тела необходимы уходовые процедуры.
",Нужно ли как то ухаживать за кожей после массажа?
"Как максимально сохранить и продлить эффект от массажа в домашних условиях: Контрастный душ (ежедневно, как почистить зубы, утро/вечер. Единственное, если делаем утром заканчиваем холодной водой, вечером - горячей. Поверьте, это лучший лимфодренаж в домашних условиях который может быть Ж * Скрабирование можете делать любое, которое любите, я выбираю на тростниковом сахаре, маслянистые, не люблю солевые, тут выбирайте на свое усмотрение, но умоляю давайте без вот этой «скорлупы грецких орехов» ) * Обязательно, после любого, даже маслянистого скраба, как смыли - наносите увлажняющее молочко или крем. * Обертывание - холодное или контрастное, какое именно - прикреплю в посте, наносите под пленку, на проблемные зоны не менее 40-45 минут.",Как сохранить и продлить эффект после процедуры?
"Мы делаем такие виды массажа как: 
карамельная липосакция,
антицеллюлитный массаж, 
медовый массаж, 
лимфодренажный массаж(ручной и аппаратный),
обертывание, дренажный массаж, 
массаж с горячим скрабом, 
аппаратный массаж, 
вибромассаж, кавитация, 
вакумный массаж, 
биофотон, 
массаж лица классический, 
сплит массаж лица. ",Какие виды массажа вы делаете?
"Мы делаем такие виды массажа как: 
карамельная липосакция,
антицеллюлитный массаж, 
медовый массаж, 
лимфодренажный массаж(ручной и аппаратный),
обертывание, дренажный массаж, 
массаж с горячим скрабом, 
аппаратный массаж, 
вибромассаж, кавитация, 
вакумный массаж, 
биофотон, 
массаж лица классический, 
сплит массаж лица. ",Какой массажа вы делаете?
"Прорабатываемются следующие зоны:
лицо, ШВ3, декольте, голова.
Методика направленная на более равномерное распределение жировой ткани, выравнивание мышечного тонуса, формирование объемов и сглаживание неровностей, т.е. создание достаточного и сбалансированного распределения тканей на лице.
Результатом массажа является полное устранение болезненных уплотнений и жировой гипертрофии лица и шеи, расслабление спазмированных мышц лица, перераспределение глубоких и поверхностных жиров с целью создания молодого объемного лица.
Данный массаж уменьшает морщины, подтягивает и наполняет лицо, улучшает его цвет. 
Массаж нужно периодически повторять, чтобы контролировать процесс образования жировых гипертрофий и мышечных спазмов!","Какой эффект дает сплит массаж лица?
"
"Сплит массаж - это инновация в области массажа лица. 
Чтобы лучше понять, что это такое, попробуем провести аналогии с массажем тела.
Лицо, так же как и тело, состоит из жировой ткани, мышц, креплений, связок, костей, фасций. 
Изменения, которые происходят с нашим телом, также происходят в тканях, из которых состоит наше лицо. 
И благодаря сплит массажу наше лицо, как и тело можно поддерживать в отличной форме.
","Что такое сплит массаж?
"
Сплит массаж лица длится около 2-х часов,Сколько по времени длится сплит массаж лица?
"Сплит массаж лица
Стоимость 3000₽
",Сколько стоит сплит массаж лица?
"B отличие от других техник, карамельная липосакция имеет в своей основе схему из непрерывных хлопковых движений и, связанных между собой гармоничными переходами от одной части тела к другой, от глубокого мышечного расслабления к восстановлению общего состояния всего организма.
Процедура благоприятно воздействует не только на кожу и подкожный слой, но и на весь организм в целом.
При выполнении процедур отсутствуют болевые ощущения, после проведения не появляются синяки и отеки.","Что такое карамельная липосакция?
"
"Под воздействием манипуляций, выполняемых специалистом, гель глубоко проникает в кожу, доставляя комплекс активных компонентов к жировым клеткам, которые в свою очередь запускают процесс липолиза. (Липолиз - метаболический процесс расщепления жиров на составляющие их жирные кислоты под действием липазы. Фермент триглицеридлипаза расщепляет триглицериды на диглицериды и жирные кислоты...) В процессе работы гель создает легкий вакуумный эффект, благодаря которому активизируется кровообращение и лимфоток, а так же происходит локальный разогрев области воздействия.",Как действует карамельная липосакция?
"Все зависит какой результат вы хотите получить, от вашего веса и ваших объемов, делать можно как раз в неделю, так и через день, зависит как срочно вам нужен эффект!
Чем больше процедур, тем больше уходит объем!","Сколько процедур нужно карамельной липосакции?
"
"Медовый массаж
* при целлюлите. Он помогает вывести шлаки из глубоких слоев кожи, очищает и разглаживает ее поверхность, стимулирует жировой обмен в подкожном слое. Кроме того, легкий эффект пилинга способствует обновлению поверхностных слоев эпидермиса;
* при борьбе с лишним весом. В данном случае медовый массаж проводится в проблемных зонах. Как правило, это область бедер, ягодиц, живота и другие места локализации жировых отложений. Уже через несколько сеансов может отмечаться снижение отечности благодаря устранению застойных явлений в лимфатическом русле и капиллярной сети;
* при растяжках. Медовый массаж способствует активизации обменных процессов в глубоких слоях эпидермиса, благодаря чему повышается выработка волокон коллагена, кожа частично выравнивается и проявления растяжек становится менее заметны!",Какой эффект можно получить от медового массажа?
"Медовый массаж – это вид массажа, при котором массажист вместо крема или масла использует мед. Техника медового массажа отличается от классического.","Что такое медовый массаж?
"
"Маленький лайфхак, для более усиленного лимфодренажа - холодное обертывание храните в холодильнике и наносите его сразу, во время обертывания сильно утепляться не нужно, просто выпейте горячий травяной чай, эффект сауны Вам
обеспечен. Это я как человек с отеками говорю і
Можно перед обертыванием холодным, нанести антицеллюлитный тоник и дать ему впитаться, а после наносить холодное обертывание.",Как можнло усилить лимфодринаж?
"При отсутствии определенных физических нагрузок происходит застой лимфы в любых лимфоузлах. При этом в межклеточных пространствах скапливаются продукты жизнедеятельности клеток (фрагменты распавшихся липидов, белков, шлаки и т.д.), которые даже постепенно прорастают волокнами соединительной ткани (медики называют этот процесс фиброзом). И клетки эти начинают попросту гнить - возникают вялотекущие онкологические заболевания, гипертония, аллергия и др.(я не хочу вас пугать. Предупреждён - значит вооружен)
Так же если у вас отеки под глазами, на руках и ногах, которые не исчезают в течение дня, постоянное чувство усталости - проснулись и уже устали 09, повысилась потливость, появились прыщи не только на лице, но и на теле, стал расти вес, появился целлюлит, жировые ловушки и многое другое. То скорее всего у вас застой лимФы.",Какие последствия развиваются при застое лимфы?
"ЛИМФОДРЕНАЖНЫЙ массаж (ручной или аппаратный)
- ЭТО один из самых эффективных инструментов для тех, кто хочет предотвратить различные заболевания, улучшить кровообращение, или проработать лимфатическую систему.
Массаж помогает организму быстро ВЫВОДиТЬ токсины, СНИЖАЕТ вес, быстро РЕГЕНЕРИРУЕТ кожу, УЛУЧШАЕТ эмоциональное состояние, ПОЯВЛЯЕТСЯ больше энергии, УМЕНЬШАЕТ отеки.
Если вы не чувствуете, что у вас может быть нарушение лимфатической системы, ПОПРОБУЙТЕ массаж для профилактики, что поможет ИЗБЕЖАТЬ Многх неприятностей, а также СОХРАНИТЬ кожу красивой, упругой и молодой","Что такое лимфодренажный массаж?
"
"Польза медового массажа:
Увеличение упругости кожи
Избавление от проблемы ""апельсиновой корки"", целлюлитаулучшение кровообращения, 
Ускорение лимфотока в организме
Укрепление общего иммунитета, профилактика частых простудных заболеваний снятие нервного напряжения
Уменьшение проявления пигментных пятен на лице, теле
Нормализация артериального давления улучшение вида кожи
Избавление от мигреней, головных болей, болей в области спины, шен
Очищение, достижение эффекта пилинга кожи лица, тела
Лечение и профилактика костных болезней организма (остеохондроза, радикулита)
Уменьшение проявлений возрастных изменений кожи, растяжек, шрамов",Какая польза медового массажа?
"
Гель на 80% состоит из воды, как и человек. (!! Любому крему такое глубокое проникновение не под силу из-за плотной текстуры, гель же проникает легко, плюс, мы помогаем ему на этапе вбивания геля
Во время процедуры также выполняются массажные манипуляции, которые увеличивают кровообращение и ток лимфы.
В конце все тело плотно оборачивается пленкой и создаётся эффект «сауна без сауны».
При помощи вывода жидкости из организма уходит также 3% жира и не возвращается за счёт работы блокатора жира в составе геля",Из чего состоит гель для карамельной липосакции и как он действует?
"Уже за 1 процедуру можно потерять в обьёмах до - 7 см, все зависит от ваших физиологических данных.","С какого посещения уже виден эффект?
"
"Мы советуем попробовать массаж «карамельная липосакция»:
Целью процедуры является оздоровление, релаксация организма, снижение веса, омоложение кожи.
Воздействуя через кожный покров, компоненты активизируют процессы обмена веществ, улучшают кровообращение, выводят токсины и шлаки из организма и улучшают самочувствие.
После процедур кожа становится необыкновенно мягкой и упругой, приобретает тонус и насыщается жизненной энергией.
Карамельная терапия способствует общему укреплению и омоложению организма, поддерживает бодрость духа, придаёт сил и энергии, помогает сохранить красоту и здоровье.
","какой массаж вы посоветуете?
"
"РЕЗУЛЬТАТЫ ПРОЦЕДУР:
избавление от целлюлита; ликвидация лишнего объема;
подтяжка кожи;
формирование четкости овала лица; коррекция двойного подбородка, углублений носогубных складок, опущение уголков губ и век; v сокращение сети морщин и предупреждение появления новых;",Какой результат можно получить от карамельной липосакции?
"Какие проблемы решает карамельная липосакция:
* Стимулирует более активную выработку коллагена в коже. Это делает ее более эластичной и упругой
* Благодаря глубокому воздействию на ткани, гель
* «RENIE» увеличивает скорость обменных процессов и выводит из организма лишнюю жидкость
* Несколько процедур, проведенных курсом отлично восстанавливают лимфатический отток
* Уменьшает растяжки после резкого сброса веса
* Эффективность - значительно уменьшает объем липидного слоя, результат сопоставим с липосакцией.
* Устраняет появление целлюлита
* Избавляет от жировых отложений
* Устраняет спазмы в мышцах, боли в спине, ускоряет заживление рубцов, полученных в результате травм и ожогов.
* Сокращает период восстановления после тренировок, повышает скорость заживления сухожилий и мышц, устраняет отечность и боль. Актуален в процессе подготовки к соревнованиям",Какие проблемы решает карамельная липосакция?
"Давайте разберемся какой массаж лучше ручной корректирующий или  аппаратный?
Если ваша цель - избавиться от лишних килограммов, смоделировать силуэт и устранить целлюлитную корочку, то методики аппаратного и ручного массажа показывают одинаковые результаты. Выбор той или иной методики зависит от ваших личных предпочтений, показаний и противопоказаний, а также рекомендаций специалиста.
Если провести одну и ту же процедуру одинаковым по объемам пациентам, результат все равно будет разным.
Всё очень индивидуально.
Ручной массаж эффективен, если специалист опытный и понимает физиологию человека.
Цель массажа - улучшить микроциркуляцию подкожно-жировой клетчатки, обмен веществ, эластичность стенок сосудов, а также укрепить дополнительными процедурами, чтобы повысить внутренние силы организма. Помимо массажа и процедур человек должен соблюдать режим, правильно питаться, иметь физические нагрузки. Учтите, что очень многое, включая эффективность процедур, зависит от вашего режима.
Самое отличительное - это то, что касается аппаратных процедур, то ими тяжело снять стресс и хроническую усталость. Кортизол, выделяемый из коры надпочечников, блокирует рецепторы, которые стимулирует липолиз (расщепление жира). Поэтому ручной массаж справится эффективнее!!
В случае же с ручным массажем мастер может использовать дополнительные косметические средства (антицеллюлитные, улучшающие эластичность кожи) для усиления эффекта!!
Допустим, у нас есть процедура обертывание, после которого кожа просто шёлковая!",Какой массаж лучше?
"Курс массажа с разными видами обёртываний позволяет избавиться от излишних объемов, придать коже гладкость и упругость.
Кроме того, обёртывание можно использовать для разогрева и смягчения очень жестких, «забитых» мышц. 
Похудение, выведение токсинов и лишней жидкости, антицеллюлитный эффект!
Одновременное воздействие контрастных температур позволяет удвоить глубину и интенсивность действия компонентов на зоны локального похудения. Направленное действие против проблем дряблой кожи, наличия локальных жировых отложений; растяжек и предрасположенности к ним. 
При воздействии холодом сначала происходит спазм мелких сосудов, который после окончания процедуры сменяется их расширением, что способствует мгновенному запуску механизмов жирорасщепления и обеспечивает сокращение подкожно -жировых отложений.","У вас есть массаж с обертыванием?
"
"Карамельная липосакция 1 процедура:
 «все тело» -2500₽ 
НОГИ ПОЛНОСТЬЮ-1200Р
ЯГОДИЦЫ-700Р
СПИНА+РУКИ-900Р
ЖИВОТ-БОКА-900Р
ЛИЦО-600P
ЛИЦО+ДЕКОЛЬТЕ-800₽
",Сколько стоит 1 процедура карамельной липосакции?
"Курс карамельная липосакция :
10 процедур «все тело» - 22.500₽ 
10 процедур «ноги живот» - 18.000₽
5 процедур «все тело» -11.200₽
5 процедур «ноги/живот» - 9.000₽ ",Сколько стоит курс Карамельной липосакции?
"Антицеллюлитный массаж курс из 10 процедур: 
Включает в себя: 
Ручной антицеллюлитный массаж, дополняем с вакуумными банками, медовым массажем( если нет противопоказаний), массаж с горячим скрабом, обёртывание в инфракрасном одеяле (холодные, горячие, контрастные, подбираем индивидуально!) Бамбуковые веники, выкатка.
Зоны: Ноги, бока, ягодицы, живот! ","Что включает в себя курс антицеллюлитного массажа?
"
Длительность сеанса:- 30/40 мин. зависит от вашего веса и реакции кожи!,Сколько длится процедура на курсе антицеллюлитного массажа?
"Посещение 2-3 раза в неделю, может быть чаще или реже , все зависит от вашего тела (реакция сосудов) ",Как часто нужно ходит на массаж на курсе антицеллюлитный массаж?
"Оплата за курс по акции, вносится на первой процедуре сразу за весь курс!",Нужно оплатить сразу за курс или можно внести предоплату?
"Курсы ""Турбо"", ""Плоский животик"", ""Стройные ножки"", ""Аппаратный массаж"", Вибромассаж""","Какие курсы массажа у вас есть?
"
"Курс «Турбо» 
5 процедур антицеллюлитного массажа:
Скомбинируем разными техниками, дренажный, антицеллюлитный, медовый, массаж с горячим скрабом, после каждого массажа сделаем обёртывание 
Зоны: живот, бока, ноги, ягодицы 
Цена: 5000₽ ",Что такое курс турбо?
"Курс «плоский животик» 
10 процедур антицеллюлитного ручного массажа (зоны:живот/бока)
Цена 6.000₽ ",Что такое курс плоский животик?
"Курс «стройные ножки»  
10 процедур антицеллюлитного ручного массажа (зоны: ноги/ягодицы) 
Цена: 6.000₽",Что такое курс стройные ножки?
"Аппаратный массаж: 
Вибромассаж.
Кавитация: удаление локальных жировых отложений ультразвуком.
Вакуумный массаж с встроенным рф-лифтингом, одновременное использование Вакуумного массажа, фотохроматерапии и RF лифтинг.
Биофотон: процедура биоэлектрического предназначена для улучшения эластичности кожи, общего омоложение кожи.",Вы делаете аппаратный массаж?
"Аппаратный массаж: 
Вибромассаж.
Кавитация: удаление локальных жировых отложений ультразвуком.
Вакуумный массаж с встроенным рф-лифтингом, одновременное использование Вакуумного массажа, фотохроматерапии и RF лифтинг.
Биофотон: процедура биоэлектрического предназначена для улучшения эластичности кожи, общего омоложение кожи.",Какой аппаратный массаж у вас есть?
Вибромассаж: 30мин - 60 мин,Сколько по времени длиться вибромассаж?
Кавитация: удаление локальных жировых отложений ультразвуком: 30мин -60 мин,Сколько по времени длиться ковитация?
"Вакуумный массаж с встроенным рф-лифтингом, одновременное использование Вакуумного массажа, фотохроматерапии и RF лифтинг : 30мин -60 мин",Сколько по времени длиться вакумный массаж?
"Биофотон: процедура биоэлектрического предназначена для улучшения эластичности кожи, общего омоложение кожи. Процедура имеет лимфодренажный эффект и стимулирует процессы жирорасщепления: 30мин -
60 мин",Сколько по времени длиться биофотон?
"Курс из 6 процедур сплит массажа Цена 16.000₽ 
Курс из 8 процедур 21.000₽ 
Курс из 10 процедур 26.000₽",Сколько стоит курс сплит массажа?
"Классический массаж лица ВКЛЮЧАЕТ В СЕБЯ:
ЛИМФОДРЕНАЖНЫЙ МАССАЖ
СКУЛЬПТУРНЫЙ
БУККАЛЬНЫЙ
ЗОНА ДЕКОЛЬТЕ 
МАССАЖ ГОЛОВЫ",Что такое классический массаж лица?
"Да, у нас есть классический массаж лица и сплит масаж.","Вы делаете массаж лица?
"
"Да, у нас есть классический массаж лица и сплит масаж.",У вас есть массаж лица?
"
Прайс на разовые посещения :

КЛАССИЧЕСКИЙ МАССАЖ ВСЕГО ТЕЛА -1300₽
МАССАЖ СПИНЫ -700P
МАССАЖ ШЕЙНО-ВОРОТНИКОВОЙ ЗОНЫ -450₽

АНТИЦЕЛЛЮЛИТНЫЙ
МАССАЖ ПО ЗОНАМ:
- ЖИВОТ,ЯГОДИЦЫ,НОГИ, РУКИ -1300P
- НОГИ, ЯГОДИЦЫ -800P 
-ЖИВОТ БОКА -800₽
- ЛИМФОДРЕНАЖНЫЙ МАССАЖ-1300₽-РУКИ -400P
-БАНОЧНЫЙ -900₽
-МАССАЖ С ГОРЯЧИМ СКРАБОМ - 1000₽
МЕДОВЫЙ МАССАЖ- 900₽",Сколько стоит разовое посещение?
"Да, конечно!","Хочу одну процедуру провести пробную и потом купит курс уже, так можно?"
"Да, конечно!",Скажите пожалуйста после массажа можно сразу пойти в зал?
"Да, конечно! Вы можете оплатить картой, наличкой, переводом.",Возможна ли оплата картой?
Ничего. Мы предоставляем все необходимое.,Что то надо брать с собой?
Не рекомендуется делать массаж в критические дни (первые три дня).,Скажити при менструации можно делать массаж?
"Можно оплатить картой, переводом, наличными. Так же принимаем Bitcoin и USDT.",Как можно оплатить?
"Зависит от того какая у вас проблема, мы работаем с отечностью и лишним весом.",Какой массаж вы посоветуете?
"Тогда Вам подойдет курс, где мы скомбинируем разные техники, ручной антицеллюлитный массаж, три раза минимум медовый массаж, массаж два или три раза с горячим скрабом плюс добавим обёртывание на расглаживание кожи) В конце курса можно будет сделать карамельную липосакцию, один или пару раз, зависит от финансовой части конечно, но за курс из 10 процедур, результат будет хороший)",У меня отеки!
"Вам подойдет курс, где мы скомбинируем разные техники, ручной антицеллюлитный массаж, три раза минимум медовый массаж, массаж два или три раза с горячим скрабом плюс добавим обёртывание на расглаживание кожи) В конце курса можно будет сделать карамельную липосакцию, один или пару раз, зависит от финансовой части конечно, но за курс из 10 процедур, результат будет хороший)",Я хочу похудеть!
Не рекомендуется делать массаж в критические дни (первые три дня).,Можно ли делать массаж во время критических дней?
Курсы есть 5 и 10 процедур.,Курс это сколько процедур?
"Можно делать массаж 2-3 раза в неделю, в зависимости от того как реагирует тело и сосуды.",Какой интервал должен быть между процедурами?
"Да, можно, но не в один день.",Можно ли совмещать прцедуры?
"Да есть, в печатном и в электронном виде. Нужно определиться какой хотите и на какую процедуру.",Подарочные сертификаты есть у вас?
До массажа не кушаем час и после 2 часа нельзя кушать ( не приходите голодными),Какие рекомендации перед массажем?
Желательно прийти после тренировки!,Я могу потом пойти на тренировку?
"Нет, вам будет комфортно уйти после процедуры!",После процедуры нужен будет в душ?
"Все достаточно терпимо, зависит от дня цикла и в целом от болевого порога!",Это больно?